id,province_id,name,slug,lat,long
15,1,تسوج,tasuj,38.318402,45.350274
16,1,تیکمه داش,tekmeh-dash,37.732963,46.952648
17,1,جلفا,jolfa,38.9307376,45.6288815
18,1,خاروانا,kharvana,38.684638,46.168992
19,1,خامنه,khameneh,38.188976,45.631627
20,1,خراجو,kharaju,37.309781,46.529910
21,1,خسروشهر,khosroshahr,37.959447,46.047477
22,1,خضرلو,khezerloo,37.430734,45.958407
23,1,خمارلو,khomarlu,39.156978,47.031821
24,1,خواجه,khajeh,38.155254,46.583753
25,1,دوزدوزان,duzduzan,37.948321,47.118307
26,1,زرنق,zarnaq,38.093593,47.083926
27,1,زنوز,zonuz,38.589822,45.830627
28,1,سراب,sarab,37.94083300,47.53666700
29,1,سردرود,sardrud,38.030123,46.149735
30,1,سهند,sahand,37.942632,46.136001
31,1,سیس,sis,38.197904,45.818626
32,1,سیه رود,siyah-rud,38.869670,46.002898
33,1,شبستر,shabestar,38.18027800,45.70277800
34,1,شربیان,sharabiyan,37.881306,47.100277
35,1,شرفخانه,sharafkhaneh,38.179366,45.483484
36,1,شندآباد,shendabad,38.1373245,45.6101274
37,1,صوفیان,sufian,38.279240,45.982075
38,1,عجب شیر,ajab-shir,37.47750000,45.89416700
39,1,قره آغاج,qarah-aghaj,37.128391,46.974996
40,1,کشکسرای,koshksaray,38.459603,45.566354
41,1,کلوانق,kolvanaq,38.102380,46.992001
42,1,کلیبر,kalibar,38.86944400,47.03555600
43,1,کوزه کنان,kuzeh-konan,38.191921,45.569722
44,1,گوگان,gowgan,37.782195,45.907681
45,1,لیلان,leylan,37.012662,46.205277
46,1,مراغه,maragheh,37.38916700,46.23750000
47,1,مرند,marand,38.42511700,45.76963600
48,1,ملکان,malekan,37.1428788,46.1042711
49,1,ملک کیان,malek-kian,38.056320,46.540650
50,1,ممقان,mamaqan,37.845185,45.987222
51,1,مهربان,mehraban,38.081338,47.132463
52,1,میانه,miyaneh,37.4264368,47.7241105
53,1,نظرکهریزی,nazarkahrizi,37.346850,46.763574
54,1,هادی شهر,hadi-shahr,38.828264,45.660767
55,1,هرگلان,hargalan,37.641087,46.220496
56,1,هریس,heris,38.2468677,47.116845
57,1,هشترود,hashtrud,37.47777800,47.05083300
58,1,هوراند,hurand,38.856615,47.364880
59,1,وایقان,vayqan,38.128665,45.714262
60,1,ورزقان,varzeqan,38.50972200,46.65444400
61,1,یامچی,yamchi,38.522378,45.641117
62,2,ارومیه,urmia,37.55527800,45.07250000
63,2,اشنویه,oshnavieh,37.03972200,45.09833300
64,2,ایواوغلی,eyvoghli,38.712990,45.207088
65,2,آواجیق,avajiq,39.332672,44.155797
66,2,باروق,baroq,36.953800,46.321428
67,2,بازرگان,bazargan,39.391762,44.389524
68,2,بوکان,bukan,36.52111100,46.20888900
69,2,پلدشت,poldasht,39.348318,45.067270
70,2,پیرانشهر,piranshahr,36.69444400,45.14166700
71,2,تازه شهر,tazeh-shahr,38.175760,44.690355
72,2,تکاب,takab,36.40083300,47.11333300
73,2,چهاربرج,chaharborj,37.123214,45.975981
74,2,خوی,khoy,38.55027800,44.95222200
75,2,دیزج دیز,dizaj-diz,38.461517,45.024333
76,2,ربط,rabat,36.210900,45.550175
77,2,سردشت,west-azarbaijan-sardasht,36.15527800,45.47888900
78,2,سرو,sarv,37.722135,44.655935
79,2,سلماس,salmas,38.19722200,44.76527800
80,2,سیلوانه,silvaneh,37.421674,44.854195
81,2,سیمینه,simineh,36.924404,46.116738
82,2,سیه چشمه,siah-cheshmeh,39.065644,44.386353
83,2,شاهین دژ,shahin-dezh,36.67916700,46.56694400
84,2,شوط,shut,39.220315,44.769158
85,2,فیرورق,firuraq,38.582183,44.852027
86,2,قره ضیاءالدین,qarag-ziyaaddin,38.890746,45.026479
87,2,قطور,qatur,38.468841,44.404592
88,2,قوشچی,qushchi,37.989651,45.036156
89,2,کشاورز,keshavarz,36.834946,46.359451
90,2,گردکشانه,gerdkashaneh,36.813888,45.257771
91,2,ماکو,maku,39.29527800,44.51666700
92,2,محمدیار,mohammadyar,36.983117,45.518718
93,2,محمودآباد,west-azarbaijan-mahmudabad,36.718294,46.513401
94,2,مهاباد,west-azarbaijan-mahabad,36.76305600,45.72222200
95,2,میاندوآب,miandoab,36.96944400,46.10277800
96,2,میرآباد,mirabad,36.406621,45.371883
97,2,نالوس,nalus,36.983323,45.143058
98,2,نقده,naqadeh,36.95527800,45.38805600
99,2,نوشین,nushin,37.733421,45.056133
100,3,اردبیل,ardabil,38.253684,48.3000183
101,3,اصلاندوز,aslanduz,39.442771,47.409868
102,3,آبی بیگلو,abi-beyglu,38.283502,48.553798
103,3,بیله سوار,bile-savar,39.3822864,48.3501725
104,3,پارس آباد,pars-abad,39.6207638,47.9050684
105,3,تازه کند,tazeh-kand,38.243185,48.031867
106,3,تازه کندانگوت,tazeh-kand-angut,39.043927,47.744597
107,3,جعفرآباد,jafarabad,39.434069,48.097672
108,3,خلخال,khalkhal,37.61888900,48.52583300
109,3,رضی,razi,38.625419,48.092952
110,3,سرعین,sareyn,38.147818,48.071666
111,3,عنبران,anbaran,38.488367,48.434672
112,3,فخرآباد,fakhrabad,38.523995,47.863011
113,3,کلور,kolor,37.388639,48.723078
114,3,کوراییم,kurayim,37.953842,48.235366
115,3,گرمی,germi,39.0383863,48.0789185
116,3,گیوی,givi,37.691799,48.337236
117,3,لاهرود,lahrud,38.506423,47.829718
118,3,مشگین شهر,meshgin-shahr,38.39888900,47.68194400
119,3,نمین,namin,38.42694400,48.48388900
120,3,نیر,ardabil-nir,38.03472200,47.99861100
121,3,هشتجین,hashjin,37.369962,48.321830
122,3,هیر,hir,38.081811,48.503008
123,4,ابریشم,abrisham,32.570153,51.572570
124,4,ابوزیدآباد,abuzeydabad,33.903367,51.762256
125,4,اردستان,ardestan,33.37611100,52.36944400
126,4,اژیه,ezhiyeh,32.440773,52.382598
127,4,اصفهان,isfahan,32.65462750,51.66798260
128,4,افوس,afus,33.024119,50.091948
129,4,انارک,anarak,33.307039,53.696859
130,4,ایمانشهر,imanshahr,32.4765463,51.4755955
131,4,آران وبیدگل,aran-va-bidgol,34.05777800,51.48416700
132,4,بادرود,badroad,33.691093,52.006348
133,4,باغ بهادران,bagh-bahadoran,32.378565,51.189980
134,4,بافران,bafran,32.838941,53.140655
135,4,برزک,barzok,33.788908,51.227445
136,4,برف انبار,barf-anbar,33.000815,50.192671
137,4,بهاران شهر,baharan-shahr,32.651019,51.724851
138,4,بهارستان,baharestan,32.487096,51.772212
139,4,بوئین و میاندشت,bueen-miyandasht,33.081004,50.162265
140,4,پیربکران,pirbakran,32.473162,51.557851
141,4,تودشک,toodeshk,32.720334,52.665448
142,4,تیران,tiran,32.702790,51.153352
143,4,جندق,jandaq,34.042702,54.413652
144,4,جوزدان,jowzdan,32.555185,51.373272
145,4,جوشقان و کامو,jowsheqan-kamu,33.565312,51.215341
146,4,چادگان,chadegan,32.76833300,50.62861100
147,4,چرمهین,charmahin,32.331805,51.188392
148,4,چمگردان,chamgordan,32.392862,51.338854
149,4,حبیب آباد,habib-abad,32.831152,51.774960
150,4,حسن آباد,isfahan-hasan-abad,32.403815,51.550753
151,4,حنا,hana,31.197283,51.723150
152,4,خالدآباد,khaledabad,33.700547,51.987755
153,4,خمینی شهر,khomeyni-shahr,32.6932588,51.5360364
154,4,خوانسار,khansar,33.2811759,50.3172112
155,4,خور,isfahan-khur,33.776416,55.085943
157,4,خورزوق,khorzuq,32.776177,51.648960
158,4,داران,daran,32.985769,50.410177
159,4,دامنه,damaneh,33.017246,50.488143
160,4,درچه,dorcheh,32.613524,51.554012
161,4,دستگرد,dastgerd,32.801452,51.664152
162,4,دهاقان,dehaqan,31.9367604,51.6544506
163,4,دهق,dehaq,33.106381,50.959739
164,4,دولت آباد,isfahan-dowlat-abad,32.808081,51.696917
165,4,دیزیچه,dizicheh,32.400639,51.514806
166,4,رزوه,rozveh,32.836471,50.569553
167,4,رضوانشهر,isfahan-rezvanshahr,32.670637,51.060331
168,4,زاینده رود,zayandeh-rud,32.387321,51.268971
169,4,زرین شهر,zarrin-shahr,32.399807,51.399407
170,4,زواره,zavareh,33.445549,52.483620
171,4,زیباشهر,zibashahr,32.384887,51.563451
172,4,سده لنجان,sedeh-lenjan,32.375384,51.323114
173,4,سفیدشهر,sefidshahr,34.125198,51.355677
174,4,سگزی,segzi,32.695272,52.104678
175,4,سمیرم,semirom,31.39883460,51.56759300
176,4,شاهین شهر,shahin-shahr,32.8796692,51.5465539
177,4,شهرضا,shahreza,32.0081068,51.8628399
178,4,طالخونچه,talkhuncheh,32.239743,51.546304
179,4,عسگران,asgaran,32.866026,50.852001
180,4,علویجه,alavijeh,33.057118,51.073486
181,4,فرخی,farrokhi,33.842938,54.949880
182,4,فریدونشهر,fereydunshahr,32.94111100,50.12111100
183,4,فلاورجان,falavarjan,32.55527800,51.50972200
184,4,فولادشهر,fulad-shahr,32.517824,51.361532
185,4,قمصر,qamsar,33.750121,51.426573
186,4,قهجاورستان,qahjaverestan,32.702341,51.835620
187,4,قهدریجان,qahdarijan,32.569836,51.442837
188,4,کاشان,kashan,33.98503580,51.40996250
189,4,کرکوند,karkavand,32.344146,51.448073
190,4,کلیشاد و سودرجان,kelishad-soderjaan,32.550611,51.529355
191,4,کمشچه,komshecheh,32.906487,51.809421
