id,city_id,name,lat,long
9145,291,اپرین,35.586616455720744,51.19927490636081
9146,291,احمد آباد مستوفی,35.629426152073094,51.2065176543195
9134,291,باغ فیض,35.55153412300665,51.25276594707992
9137,291,باغ نرده,35.550961822345656,51.21996810349208
9127,291,بلوار قائمیه,35.52977342789907,51.22221965032165
9132,291,بلوار گلها,35.54625269351317,51.241597238625104
9131,291,بلوار نواب صفوی,35.543441680670355,51.23559313844311
9143,291,بهرام آباد,35.578582353562936,51.27640298092686
9144,291,چیچکلو,35.559377856867854,51.20324418912759
9135,291,حصارک پایین,35.54170298515774,51.19423970260149
9142,291,ده عباس,35.549848336798746,51.28402184498739
9133,291,زرافشان,35.54934897967631,51.2485843027909
9136,291,سالور,35.54333907779561,51.20446282877319
9125,291,شهرک امام حسین,35.52566081102475,51.26366659867193
9141,291,شهرک توحید,35.57351915047748,51.232687646460306
9128,291,شهرک سعیدیه,35.53845668906466,51.216391752764196
9129,291,شهرک محمدیه,35.542370848516555,51.222887605663516
9123,291,شهرک واوان,35.50242259026369,51.21846257348108
9138,291,شهید مطهری,35.55590529532675,51.22872605382145
9126,291,صالحیه,35.506092903513604,51.193379251118586
9139,291,کاشانی,35.558971336174935,51.23275752396452
9140,291,موسی آباد,35.56454081970175,51.24315848010704
9130,291,مهدیه,35.544868847268816,51.22804300373801
9124,291,میان آباد,35.519341114651354,51.243967638031876
9053,292,فاز 1,35.68274874430429,51.01917296615895
9054,292,فاز 2,35.701813589405006,51.002399351366364
9055,292,فاز 3,35.697113169620536,51.02066278366641
9056,292,فاز 4,35.69639174389812,51.036804372793995
9057,292,فاز 5,35.712625160640016,51.03268967606701
9058,292,فاز 6,35.722085725803,51.01681343914376
9150,294,جاده هراز,35.77854167804543,51.96755113247937
9149,294,شهرک مدرس,35.75954418311855,51.96041799712418
9151,294,مرکز شهر,35.76420791400011,51.96582440888366
9147,294,مشا,35.760866865952934,52.02656010467834
9148,294,وسکاره,35.8043729982969,51.913238195339176
9120,297,خیابان حق وردیان,35.7253581054003,51.857839168631614
9115,297,خیابان سپاه,35.73700219400966,51.85713345026414
9117,297,سیاه بند,35.71608048429964,51.8768773498083
9116,297,شهرآباد,35.72195491394504,51.87143305878769
9118,297,شهرک طلاییه,35.71688889926105,51.86695843119614
9122,297,طاهرآباد,35.68934520267756,51.87227825871253
9121,297,گلدره,35.76133077493958,51.867664686898706
9119,297,مرکز شهر,35.73537862429724,51.87917803021958
9076,299,جاجرود,35.668440726605695,51.74719393886025
9067,299,فاز 1,35.74555202966471,51.81775416676294
9070,299,فاز 10,35.752012138137914,51.84688335417235
9062,299,فاز 11,35.77014873805513,51.77604587364738
9066,299,فاز 2,35.747539420813425,51.80193258104677
9068,299,فاز 3,35.74596083513249,51.833026233592506
9069,299,فاز 4,35.73984642013875,51.8443836957384
9064,299,فاز 5,35.75117222259139,51.78547059566813
9072,299,فاز 6,35.72982045818394,51.818316746402644
9071,299,فاز 7,35.73944302983104,51.7672770736462
9073,299,فاز 8,35.725221788539656,51.7589362277798
9065,299,فاز 9,35.75239894468095,51.768906455202824
9074,299,کرشت,35.690045659319466,51.82544613573498
9063,299,کمرد,35.75963789301534,51.74312245576817
9077,299,واصفجان,35.76457149980004,51.82198257770639
9313,301,آبشار,"",""
5262,301,آبشار - منطقه 12,35.6780758,51.4427707
928,301,آپادانا - خرمشهر,35.737336,51.435025
930,301,آجودانیه,35.808025,51.483529
931,301,آذربایجان,35.6915066,51.3981554
932,301,آذری,35.667124,51.35179
933,301,آرژانتین,35.737038,51.415308
934,301,آزادشهر,35.749338,51.173799
10650,301,آزادی,"",""
5196,301,آسمان,35.781369,51.354977
4793,301,آگاهی,35.664541,51.40105
4804,301,آهنگ,35.662167,51.47613
883,301,اباذر,35.732055,51.330142
5364,301,ابوذر - منطقه 14,35.68022,51.485226
4565,301,اتابک,35.649777,51.462364
5448,301,اجاره دار,35.712325,51.44801
7112,301,احتشامیه,35.77788835608,51.459960937
5376,301,احمدآباد مستوفی,35.6342367,51.2134555
888,301,اختیاریه,35.786504,51.460176
5226,301,اراج,35.796068,51.487815
4735,301,ارم,35.730068,51.287098
891,301,ازگل,35.790576,51.509764
4592,301,استادمعین,35.693773,51.34311
894,301,اسکندری,35.689151,51.381385
903,301,افسریه,35.645215,51.490959
3566,301,اقدسیه,35.809142,51.477559
909,301,الهیه,35.7902473,51.4283323
4634,301,امامزاده قاسم,35.812758,51.440023
5304,301,امیر بهادر,35.671572,51.403408
4646,301,امیرآباد,35.732336,51.389944
921,301,امیریه,35.678633,51.401263
9049,301,اندرزگو,35.79850378692217,51.44738255843009
3568,301,انقلاب,35.698418,51.401961
4653,301,اوقاف,35.749039,51.511073
926,301,اوین,35.800471,51.393099
927,301,ایران,35.688245,51.439458
9786,301,ایرانشهر,"",""
4659,301,ایوانک,35.757639,51.351737
938,301,بازار,35.672451,51.426613
3585,301,باغ صبا,35.720913,51.434346
940,301,باغ فردوس,35.803300534,51.4242553710
4667,301,باغ فیض,35.745759,51.322776
4671,301,برق آلستوم,35.723102720,51.3558483123
945,301,بریانک,35.675902,51.37693
952,301,بلوار فردوس شرق,35.7230175,51.3200649
4718,301,بلوار فردوس غرب,35.725158,51.30641
953,301,بلوار کشاورز,35.713899,51.399709
